Year,Account,Bundle,Total_Amount,Total_Orders,Avg_Order_Value,Segment
2023,Darke County Sheriff,Sierra Wireless,36403.02,1,36403.02,Needs Nurture
2023,Digital Path,Sierra Wireless,1815.08,1,1815.08,Promising/New
2023,Distinctive AFWS Designs,Sierra Wireless,1328.38,2,664.19,Loyal
2023,Dixie Electric,Other,5277.1,2,2638.55,Loyal
2023,Duplicate - Irby Utilities,Sierra Wireless,5672.0,1,5672.0,Promising/New
2023,EA Science and Technology,Sierra Wireless,852.73,1,852.73,One-time/Low Value
2023,EQT,Other,1808.34,2,904.17,At Risk
2023,EQT,Sierra Wireless,64611.35,10,6461.135,Champions
2023,"ETS - Engineering & Testing Services, Inc.",Sierra Wireless,7156.710000000001,3,2385.57,Loyal
2023,EWA - Electronic Warfare Associates,Other,223000.0,1,223000.0,Needs Nurture
2023,Eagle Automation,Sierra Wireless,1324.77,2,662.385,Loyal
2023,East Kentucky Power Cooperative,Sierra Wireless,12304.99,2,6152.495000000001,Champions
2023,Eastex Tower,Ciena,447622.12,1,447622.12,Big Spenders
2023,Electronic Security Corporation,Sierra Wireless,483.14,1,483.14,One-time/Low Value
2023,Engage P2P,Sierra Wireless,670.9,1,670.9,One-time/Low Value
2023,Equitrans Midstream,Sierra Wireless,4513.78,5,902.756,Loyal
2023,Essex County Office of Emergency Services,Sierra Wireless,5878.139999999999,2,2939.07,Loyal
2023,Exelon,Other,562.33,1,562.33,One-time/Low Value
2023,Exelon - Atlantic City Electric,Sierra Wireless,2372.32,2,1186.16,At Risk
2023,Exelon - Delmarva,Sierra Wireless,283500.0,1,283500.0,Needs Nurture
2023,Exelon - PECO,Sierra Wireless,30194.69,3,10064.89666666667,At Risk
2023,Exelon/BGE,Sierra Wireless,284133.68,2,142066.84,At Risk
2023,Fairfax County PD,Sierra Wireless,2766.2,1,2766.2,Needs Nurture
2023,Fischer Block,Sierra Wireless,3803.65,2,1901.825,At Risk
2023,Fleaux Services,Sierra Wireless,6632.0,1,6632.0,Needs Nurture
2023,Floor and Decor,Cradlepoint,195348.33,2,97674.165,Champions
2023,Fusion World Wide,Sierra Wireless,65061.0,1,65061.0,Big Spenders
2023,Future Technologies Innovations LLC,Cambium Networks,134000.0,1,134000.0,Big Spenders
2023,Future Technologies Innovations LLC,Other,30650.11,2,15325.055,Champions
2023,GDT,Sierra Wireless,36432.0,1,36432.0,Needs Nurture
2023,Gaia Green Earth,Cambium Networks,20000.0,1,20000.0,Needs Nurture
2023,Geiler,Sierra Wireless,1239.36,1,1239.36,One-time/Low Value
2023,George E. Booth Company,Sierra Wireless,11556.41,4,2889.1025,Champions
2023,Gogo Inflight,Ceragon Networks,24558.0,2,12279.0,Champions
2023,Gogo Inflight,Other,1255.0,1,1255.0,One-time/Low Value
2023,Gogo Inflight,Professional Services,3000.0,1,3000.0,Needs Nurture
2023,Graybill Inc. (Alliant Energy),Sierra Wireless,5864.88,1,5864.88,Promising/New
2023,Greenfield Inc,Cradlepoint,168059.36,1,168059.36,Needs Nurture
2023,Grey Wolf Automation,Sierra Wireless,983.08,1,983.08,One-time/Low Value
2023,Guardian Access Solutions,Sierra Wireless,2623.92,1,2623.92,Promising/New
2023,H&H Door Company Inc.,Sierra Wireless,2616.93,1,2616.93,One-time/Low Value
2023,Hanen,Sierra Wireless,825.22,1,825.22,One-time/Low Value
2023,Hardin Medical Center,Sierra Wireless,466.06,1,466.06,One-time/Low Value
2023,Hyundai,Other,56640.0,1,56640.0,Big Spenders
2023,ICA Engineering,Sierra Wireless,24718.05,2,12359.025,Big Spenders
2023,IPEX,Cradlepoint,46404.23,1,46404.23,Needs Nurture
2023,IROB Solutions LLC,Sierra Wireless,3388.93,2,1694.465,At Risk
2023,ISA Solar Integrated Solar,Sierra Wireless,673.44,1,673.44,Promising/New
2023,Illinois American Water,Sierra Wireless,53159.73,19,2797.88052631579,Champions
2023,Indeck Power Equipment Company,Sierra Wireless,4149.46,2,2074.73,Loyal
2023,Indiana American Water,Sierra Wireless,14955.5,5,2991.1,Champions
2023,Information Station Specialists,Sierra Wireless,3703.0,1,3703.0,Needs Nurture
2023,Intuitive Research and Technology Corporation,Nokia,250000.0,1,250000.0,Big Spenders
2023,Intuitive Research and Technology Corporation,Other,135294.12,1,135294.12,Needs Nurture
2023,Intuitive Research and Technology Corporation,Site Infrastructure,160000.0,1,160000.0,Needs Nurture
2023,Irby Utilities,Other,10397.67,2,5198.835,Loyal
2023,Irby Utilities,Sierra Wireless,26262.5,3,8754.166666666666,Champions
2023,J&M Security Solutions,Sierra Wireless,761.18,1,761.18,Promising/New
